created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2020-03-07 09:40:38 IST,433,29,34,,,,
2020-03-07 09:41:40 IST,434,29,34,,,,
2020-03-07 09:42:42 IST,435,29,34,,,,
2020-03-07 09:43:44 IST,436,29,34,,,,
2020-03-07 09:44:46 IST,437,29,34,,,,
2020-03-07 09:45:48 IST,438,29,34,,,,
2020-03-07 09:46:51 IST,439,29,34,,,,
2020-03-07 09:47:53 IST,440,29,34,,,,
2020-03-07 09:48:55 IST,441,29,34,,,,
2020-03-07 09:49:58 IST,442,29,34,,,,
2020-03-07 09:50:59 IST,443,29,34,,,,
2020-03-07 09:52:01 IST,444,29,34,,,,
2020-03-07 09:53:03 IST,445,29,34,,,,
2020-03-07 09:54:06 IST,446,29,34,,,,
2020-03-07 09:55:08 IST,447,29,34,,,,
2020-03-07 09:56:10 IST,448,29,34,,,,
2020-03-07 09:57:12 IST,449,29,34,,,,
2020-03-07 09:58:14 IST,450,29,34,,,,
2020-03-07 09:59:16 IST,451,29,34,,,,
2020-03-07 10:00:18 IST,452,29,34,,,,
2020-03-07 10:01:20 IST,453,29,34,,,,
2020-03-07 10:02:23 IST,454,29,34,,,,
2020-03-07 10:03:25 IST,455,29,34,,,,
2020-03-07 10:04:27 IST,456,29,34,,,,
2020-03-07 10:05:29 IST,457,29,34,,,,
2020-03-07 10:06:31 IST,458,29,34,,,,
2020-03-07 10:07:33 IST,459,29,34,,,,
2020-03-07 10:08:35 IST,460,29,35,,,,
2020-03-07 10:10:40 IST,461,29,35,,,,
2020-03-07 10:11:42 IST,462,29,35,,,,
2020-03-07 10:12:44 IST,463,29,35,,,,
2020-03-07 10:14:48 IST,464,29,35,,,,
2020-03-07 10:15:50 IST,465,29,35,,,,
2020-03-07 10:16:52 IST,466,29,35,,,,
2020-03-07 10:17:55 IST,467,29,35,,,,
2020-03-07 10:18:57 IST,468,29,35,,,,
2020-03-07 10:19:59 IST,469,29,35,,,,
2020-03-07 10:21:01 IST,470,29,35,,,,
2020-03-07 10:23:05 IST,471,29,35,,,,
2020-03-07 10:24:07 IST,472,29,35,,,,
2020-03-07 10:25:09 IST,473,29,35,,,,
2020-03-07 10:26:12 IST,474,29,35,,,,
2020-03-07 10:27:14 IST,475,29,35,,,,
2020-03-07 10:28:16 IST,476,29,35,,,,
2020-03-07 10:29:18 IST,477,29,35,,,,
2020-03-07 10:30:20 IST,478,29,35,,,,
2020-03-07 10:31:22 IST,479,29,35,,,,
2020-03-07 10:32:24 IST,480,29,35,,,,
2020-03-07 10:33:26 IST,481,29,35,,,,
2020-03-07 10:34:29 IST,482,29,35,,,,
2020-03-07 10:38:50 IST,483,31,38,,,,
2020-03-07 10:39:52 IST,484,31,37,,,,
2020-03-07 10:40:54 IST,485,31,41,,,,
2020-03-07 10:41:56 IST,486,30,38,,,,
2020-03-07 10:42:58 IST,487,30,39,,,,
2020-03-07 10:44:00 IST,488,30,37,,,,
2020-03-07 10:45:03 IST,489,30,38,,,,
2020-03-07 10:46:05 IST,490,30,38,,,,
2020-03-07 10:47:07 IST,491,29,38,,,,
2020-03-07 10:48:09 IST,492,29,38,,,,
2020-03-07 10:49:11 IST,493,29,38,,,,
2020-03-07 10:50:13 IST,494,29,38,,,,
2020-03-07 10:51:15 IST,495,29,38,,,,
2020-03-07 10:52:17 IST,496,29,38,,,,
2020-03-07 10:53:20 IST,497,29,38,,,,
